sku_id,forecast_week_1,forecast_week_2,forecast_week_3,forecast_week_4
SKU103,138.885,139.815,139.425,147.585
SKU104,139.22,125.45,129.445,131.88
SKU105,142.225,136.03,143.37,155.145
SKU106,127.66,143.785,127.49,146.185
SKU107,140.82,137.315,140.21,152.04
SKU108,134.355,132.57,140.095,150.74
SKU109,146.135,141.195,143.805,148.195
SKU110,148.145,141.565,140.115,143.855
SKU111,151.8,142.835,142.715,140.435
SKU112,135.225,138.765,129.0,141.17
SKU113,139.42,129.42,140.46,152.06
SKU114,136.305,138.345,129.645,151.05
SKU115,142.88,140.405,139.845,158.865
SKU116,139.105,138.25,143.43,146.615
SKU117,145.135,138.835,147.155,145.915
SKU118,148.085,133.6,135.89,147.355
SKU119,150.575,128.79,139.595,147.34
SKU120,143.105,137.935,141.05,156.035
SKU121,133.675,147.21,133.445,154.385
SKU122,141.255,140.135,130.125,156.89
SKU123,136.245,137.46,135.555,141.805
SKU124,154.84,136.875,143.965,143.58
SKU125,123.86,141.985,141.45,136.17
SKU126,144.125,143.335,146.355,134.63
SKU127,142.115,132.025,133.285,142.06
SKU128,144.665,132.8,113.835,143.115
SKU129,130.14,140.43,142.92,132.595
SKU130,150.56,150.38,132.92,142.66
SKU131,150.305,135.59,136.185,148.445
SKU132,142.225,145.915,140.975,148.895
SKU133,138.345,147.12,138.41,150.815
SKU134,143.03,138.745,140.11,144.59
SKU135,145.655,129.85,127.28,141.315
SKU136,136.095,149.125,159.865,140.695
SKU137,141.835,142.88,145.65,142.44
SKU138,142.095,142.11,136.15,150.48
SKU139,139.8,133.55,140.875,140.985
SKU140,134.235,140.34,132.34,149.795
SKU141,146.88,134.965,140.845,123.525
SKU142,142.56,143.59,134.98833333333332,144.12
SKU143,131.27,128.345,138.08,145.725
SKU144,127.38,143.54,140.61,138.585
SKU145,144.935,132.57,138.44,161.94
SKU146,149.85,133.485,132.405,145.575
SKU147,142.14,140.895,144.635,144.79
SKU148,135.62,138.845,136.21,150.795
SKU149,137.7,138.14,128.535,148.36
SKU150,142.95,144.805,139.62,148.8
SKU151,140.425,128.155,138.675,160.485
SKU152,135.03,125.405,136.845,141.965
SKU153,151.465,139.44,136.25,152.905
SKU154,137.51,123.875,134.505,139.205
SKU155,142.415,137.395,147.585,147.63
SKU156,135.82,144.01,126.675,153.37
SKU157,132.585,142.655,143.475,146.225
SKU158,136.685,136.31,139.065,143.33
SKU159,127.515,136.465,133.47,146.81
SKU160,123.675,141.955,135.98,147.43
SKU161,145.545,143.975,140.98,137.35
SKU162,135.53,139.395,133.935,157.09
SKU163,144.545,142.13,144.54,133.58
SKU164,149.51,137.87,145.965,130.705
SKU165,141.195,140.11,130.78,157.15
SKU166,136.755,137.85,138.47,143.095
SKU167,123.705,125.69,126.63,135.77
SKU168,133.86,141.41,130.66,140.7
SKU169,145.54,139.905,144.81,124.7
SKU170,136.435,145.18,130.64,151.125
SKU171,131.8,127.33,139.59,136.88
SKU172,142.685,134.22,133.72,156.115
SKU173,135.88,137.53,126.485,137.02
SKU174,141.87,134.685,140.46,123.85
SKU175,134.79,138.02,141.9,163.405
SKU176,131.235,132.82,124.455,137.37
SKU177,142.375,142.86,139.575,145.045
SKU178,134.445,135.365,131.095,145.1
SKU179,147.135,138.185,138.315,145.965
SKU180,149.39,139.13,136.07,150.905
SKU181,147.34,141.645,145.06,128.265
SKU182,148.545,135.645,144.245,132.515
SKU183,136.755,135.87,122.385,136.85
SKU184,130.545,137.905,134.74,153.42
SKU185,147.195,137.41,148.405,137.23
SKU186,140.0,142.69,138.435,148.89
SKU187,138.99,139.525,133.545,143.725
SKU188,137.86,138.39,145.65,158.905
SKU189,145.685,139.13,123.51,156.235
SKU190,131.65,135.84,143.1,153.8
SKU191,146.69,147.515,134.5283333333333,140.585
SKU192,120.215,139.02,132.35,151.1
SKU193,120.23,134.115,131.785,145.045
SKU194,144.765,147.42,143.585,149.49
SKU195,142.835,144.76,145.495,130.845
SKU196,142.155,141.175,142.005,143.645
SKU197,149.01,133.16,145.505,146.19
SKU198,132.91,135.965,137.68,146.03
SKU199,139.81,130.175,142.03,144.78
SKU200,128.29,135.025,149.055,129.115
SKU201,133.135,125.44,133.255,129.54
SKU202,142.62,133.29,145.365,140.47
SKU203,131.165,131.895,131.13,146.195
SKU204,148.935,135.42,134.945,146.115
SKU205,135.755,142.66,133.88,144.24
SKU206,126.735,143.575,150.96,140.545
SKU207,141.23,128.92,138.42,145.94
SKU208,139.82,128.64,141.52,143.54
SKU209,147.635,141.435,139.315,141.4
SKU210,137.805,133.56,122.675,147.145
SKU211,147.655,153.235,144.715,133.535
SKU212,139.32,132.94,139.84,142.27
SKU213,132.82,132.065,133.535,145.32
SKU214,148.53,139.365,144.955,130.035
SKU215,141.45,131.065,134.875,156.385
SKU216,139.355,141.205,140.505,133.32
SKU217,141.03,139.12,127.505,139.185
SKU218,124.845,141.305,132.53,130.595
SKU219,127.905,145.425,133.065,142.12
SKU220,142.12,123.605,130.26,140.205
SKU221,140.555,135.28,140.71,140.5
SKU222,135.195,137.93,145.695,132.365
SKU223,141.76,130.105,143.94,130.61
SKU224,133.49,136.81,151.53,139.31
SKU225,148.625,130.12,138.18,147.325
SKU226,140.055,119.425,147.97,140.125
SKU227,147.575,134.04,134.54,147.575
SKU228,133.92,136.785,133.545,142.915
SKU229,151.145,136.275,136.12,138.71
SKU230,136.97,143.595,132.55,135.84
SKU231,142.375,139.2,135.255,149.715
SKU232,149.195,130.995,130.665,145.845
SKU233,139.91,144.465,146.125,144.885
SKU234,138.055,139.105,141.855,142.545
SKU235,138.47,140.94,145.98,132.125
SKU236,134.365,141.34,141.76,144.93
SKU237,143.525,133.33,142.09,160.49
SKU238,139.79,136.22,141.705,148.99
SKU239,142.215,133.595,135.72,152.44
SKU240,140.835,136.735,122.88,149.97
SKU241,139.515,124.795,131.29,138.8
SKU242,152.37,129.995,148.05,144.525
SKU243,144.055,131.175,138.365,144.61
SKU244,135.23,131.74,144.54,145.26
SKU245,141.56,132.37,145.635,132.21
SKU246,131.63,128.915,132.715,142.905
SKU247,143.865,128.98,138.315,152.06
SKU248,145.26,142.615,142.77,149.65
SKU249,131.155,134.485,130.4,143.65
SKU250,143.205,142.89,143.57,143.005
SKU251,146.785,131.4,126.155,142.405
SKU252,133.845,141.945,137.895,148.8
SKU253,139.77,131.615,136.75,140.61
SKU254,136.555,139.53,123.87,147.585
SKU255,139.99,140.66,135.39,142.405
SKU256,143.855,130.805,138.725,147.235
SKU257,144.84,137.38,139.23,143.07
SKU258,139.76,139.545,136.91,150.475
SKU259,145.86,134.93,119.685,147.715
SKU260,142.55,131.755,124.605,136.6
SKU261,134.625,136.755,134.9,153.23
SKU262,154.4,134.655,139.08,141.58
SKU263,139.215,146.435,155.86,126.16
SKU264,143.11,143.65,148.12,133.975
SKU265,139.925,137.745,142.905,146.835
SKU266,143.58,139.665,143.395,133.385
SKU267,135.075,146.15,144.91,138.16
SKU268,144.015,148.245,151.535,141.78
SKU269,134.61,148.435,150.405,139.76
SKU270,132.07,133.54,127.865,145.365
SKU271,146.485,135.845,146.4,158.155
SKU272,140.555,141.8,138.275,133.615
SKU273,143.715,143.665,129.165,145.755
SKU274,139.995,137.355,139.96,156.675
SKU275,139.97,143.13,132.135,147.61
SKU276,131.755,131.02,134.67,141.56
SKU277,136.78,134.815,134.515,142.5
SKU278,141.955,135.65,139.075,145.4
SKU279,124.385,150.175,145.85,140.155
SKU280,144.47,139.565,141.595,150.535
SKU281,139.43,144.11,144.41,146.045
SKU282,132.78,131.365,133.395,132.655
SKU283,139.17,144.52,145.19,129.97
SKU284,141.89,138.09,143.21,139.91
SKU285,148.905,127.855,130.97,142.125
SKU286,141.09,137.485,139.7,148.405
SKU287,141.105,140.85,144.035,135.005
SKU288,146.065,137.07,125.58,140.515
SKU289,139.37,136.305,144.04,153.41
SKU290,131.11,141.825,132.22,141.67
SKU291,143.385,146.92,142.67,153.675
SKU292,136.63,136.455,128.965,141.335
SKU293,148.715,137.89,136.265,144.795
SKU294,156.075,138.15,137.825,148.545
SKU295,139.175,135.255,138.105,139.915
SKU296,135.69,135.825,139.345,138.645
SKU297,150.265,138.98,138.845,149.785
SKU298,145.25,142.59,139.54,154.08
SKU299,127.95,145.73,139.565,149.465
SKU300,148.37,145.36,140.74,149.335
SKU301,149.58,136.92,144.62,124.065
SKU302,125.56,145.55,135.865,156.52
SKU303,157.275,150.58,138.36,114.445
SKU304,134.41,135.345,148.03,139.55
SKU305,146.9,129.9,140.73,155.83
SKU306,131.59,134.995,144.81,137.37
SKU307,131.365,136.165,121.765,137.49
SKU308,126.05,143.545,151.4,131.665
SKU309,142.17,140.57,142.52,140.71
SKU310,147.955,129.03,140.99,146.725
SKU311,138.605,139.535,130.51,149.6
SKU312,124.485,139.325,129.885,141.415
SKU313,130.215,126.975,131.485,139.235
SKU314,136.23,144.43,134.31,152.915
SKU315,151.365,139.345,142.475,144.29
SKU316,129.635,136.3,130.725,151.46
SKU317,137.435,135.545,139.3,166.215
SKU318,147.96,145.285,142.475,140.7
SKU319,139.655,138.395,141.985,163.15
SKU320,138.94,143.51,140.13,145.67
SKU321,148.495,133.775,137.95,149.845
SKU322,147.45,140.4,130.915,157.795
SKU323,136.485,144.26,149.13,137.885
SKU324,136.58,143.29,149.89,147.045
SKU325,132.43,130.28,124.635,133.5
SKU326,159.54,138.065,139.05,139.525
SKU327,133.95,141.135,136.085,146.53
SKU328,134.35,132.305,134.835,149.045
SKU329,145.055,142.875,142.94,146.25
SKU330,143.605,135.435,130.695,144.93
SKU331,129.715,137.595,128.335,141.165
SKU332,154.29,119.715,149.935,136.75
SKU333,130.855,151.0,135.935,146.36
SKU334,150.24,138.205,143.995,135.63
SKU335,124.365,147.38,142.06,146.59
SKU336,134.865,143.88,146.34,144.185
SKU337,133.39,140.435,140.555,157.075
SKU338,135.415,141.53,133.13,147.025
SKU339,138.83,140.295,149.97,137.55
SKU340,133.965,133.215,134.69,145.755
SKU341,149.125,141.72,137.06,143.95
SKU342,143.075,140.415,134.39,152.925
SKU343,131.075,136.075,146.045,142.12
SKU344,144.78,141.75,131.88,146.715
SKU345,127.51,139.315,148.955,138.285
SKU346,139.91,136.475,144.005,147.84
SKU347,152.63,144.28,149.02,136.535
SKU348,146.71,145.73,134.215,149.105
SKU349,135.415,136.36,131.58,139.34
SKU350,131.565,130.36,133.195,142.23
SKU351,143.365,136.07,138.3,147.66
SKU352,153.035,132.48,135.64,153.39
SKU353,131.74,144.39,134.83,142.6
SKU354,143.325,146.555,144.73,129.645
SKU355,149.95,140.21,147.555,133.235
SKU356,143.835,146.97,146.11,134.38
SKU357,127.12,137.14,128.32,148.88
SKU358,135.375,146.185,143.335,147.15
SKU359,135.27,139.195,139.4,163.06
SKU360,145.245,126.945,127.635,142.61
SKU361,142.805,145.72,141.065,147.41
SKU362,135.99,140.24,125.68,138.075
SKU363,130.675,138.36,145.965,126.39
SKU364,141.745,146.985,145.775,134.12
SKU365,133.585,130.73,144.245,128.93
SKU366,146.515,144.3,152.96,138.705
SKU367,139.845,139.545,143.36,156.085
SKU368,149.155,144.415,161.83,142.39
SKU369,147.695,128.655,140.615,156.105
SKU370,144.415,142.45,136.545,151.765
SKU371,135.045,139.315,125.855,139.495
SKU372,142.24,142.77,148.82,138.35
SKU373,139.825,131.68,141.565,164.01
SKU374,144.755,135.84,132.23,138.47
SKU375,130.485,140.845,134.135,144.77
SKU376,138.93,128.55,131.965,144.64
SKU377,137.485,132.125,133.09,138.585
SKU378,153.895,130.995,142.655,133.99
SKU379,144.495,141.895,147.655,135.425
SKU380,136.905,132.97,128.09,147.585
SKU381,137.875,138.7,130.265,145.83
SKU382,142.085,133.5,134.015,154.315
SKU383,141.215,139.255,139.27,151.605
SKU384,133.835,136.55,129.245,144.925
SKU385,134.56,141.985,130.26,145.765
SKU386,144.08,129.82,136.925,156.25
SKU387,140.025,136.52,126.33,143.625
SKU388,131.415,128.595,129.03,146.325
SKU389,149.605,141.215,133.29,143.8
SKU390,150.92,133.465,141.59,141.27
SKU391,136.625,138.62,148.195,150.725
SKU392,142.695,145.385,141.925,142.755
SKU393,143.39,144.225,128.94,146.08
SKU394,132.89,136.77,141.82,146.19
SKU395,150.685,139.885,126.15,145.61
SKU396,143.74,142.31,148.16,136.97
SKU397,137.495,142.15,151.165,132.895
SKU398,134.61,128.085,131.735,134.245
SKU399,137.065,132.665,140.57,148.675
SKU400,142.975,140.365,144.14,142.275
SKU401,140.04,144.375,138.19,146.965
SKU402,142.11,137.19,143.48,144.38
SKU403,132.525,127.635,142.125,147.705
SKU404,137.375,120.615,132.725,142.995
SKU405,140.185,139.155,139.425,152.18
SKU406,139.105,133.835,147.575,135.975
SKU407,133.725,131.24,137.94,136.97
SKU408,142.49,139.005,140.14,160.885
SKU409,137.165,139.175,145.18,154.92
SKU410,143.07,140.27,137.275,151.24
SKU411,142.545,135.72,144.64,148.975
SKU412,129.285,131.78,139.97,136.805
SKU413,142.27,136.865,130.115,151.455
SKU414,128.265,136.23,134.87,149.3
SKU415,148.945,138.975,134.52,142.09
SKU416,138.175,138.78,132.87,138.35
SKU417,138.135,139.245,128.28,146.775
SKU418,136.435,130.335,139.075,137.375
SKU419,156.915,146.6,140.055,145.725
SKU420,143.455,149.125,129.58,154.345
SKU421,134.88,132.65,126.52,146.205
SKU422,134.65,135.42,121.99,148.17
SKU423,134.22,137.8,132.085,142.165
SKU424,145.43,147.605,134.095,147.365
SKU425,139.255,145.705,147.165,136.78
SKU426,141.03,136.99,124.105,145.945
SKU427,144.24,135.86,128.185,140.4
SKU428,126.885,143.59,130.93,148.84
SKU429,148.31,140.965,153.01,145.41
SKU430,151.745,144.38,141.645,146.405
SKU431,147.95,142.105,141.465,138.315
SKU432,133.51,140.165,143.3,150.205
SKU433,140.095,136.615,134.94,158.6
SKU434,146.91,143.095,135.94,140.26
SKU435,138.35,130.995,134.12,138.385
SKU436,140.35,135.055,130.71,156.755
SKU437,140.265,137.845,145.495,143.04
SKU438,151.43,128.47,145.44,146.215
SKU439,142.87,145.64,127.245,135.0
SKU440,138.91,130.99,132.24,134.965
SKU441,139.965,141.08,152.195,137.72
SKU442,135.71,135.28,141.365,141.92
SKU443,137.435,140.12,119.005,139.625
SKU444,140.315,137.23,144.795,144.825
SKU445,142.995,145.17,155.37,135.345
SKU446,139.775,131.82,150.15,133.47
SKU447,143.24,139.71,137.265,149.095
SKU448,133.46,139.58,128.43,151.315
SKU449,134.085,122.24,137.885,135.89
SKU450,139.69,147.605,141.045,136.59
SKU451,142.895,150.42,138.315,137.285
SKU452,144.515,139.775,143.08,162.89
SKU453,138.425,139.005,134.015,156.13
SKU454,132.34,140.445,131.85,146.13
SKU455,144.545,137.53,147.075,125.91
SKU456,122.92,148.505,144.79,139.875
SKU457,130.93,131.86,140.07,147.445
SKU458,143.51,135.92,125.13,141.17
SKU459,135.24,145.05,129.305,154.87
SKU460,144.495,143.805,138.195,148.055
SKU461,115.29,138.07,135.555,133.125
SKU462,148.62,135.88,136.805,151.52
SKU463,144.93,134.935,140.265,151.12
SKU464,136.87,129.91,132.31,142.25
SKU465,130.1,135.93,136.79,151.71
SKU466,155.105,136.73,143.94,136.11
SKU467,134.98,141.73,130.22,142.225
SKU468,140.38,137.285,140.48,148.44
SKU469,150.98,134.72,134.73,147.68
SKU470,127.915,136.495,131.33,140.49
SKU471,147.42,141.08,142.07,149.745
SKU472,148.25,130.885,138.765,159.17
SKU473,140.91,142.815,126.76,137.785
SKU474,149.485,135.935,135.755,154.055
SKU475,140.52,134.21,139.82,164.115
SKU476,137.83,134.61,126.66,148.85
SKU477,134.225,142.96,138.035,146.855
SKU478,140.395,138.225,132.58,137.855
SKU479,148.815,148.82,143.865,139.395
SKU480,132.615,143.54,145.67,142.18
SKU481,136.51,127.68,138.89,149.15
SKU482,134.74,132.69,126.02,142.075
SKU483,133.57,133.155,124.47,140.515
SKU484,128.035,147.655,137.78,140.505
SKU485,126.35,137.67,134.025,130.225
SKU486,154.645,149.93,138.595,140.22
SKU487,141.98,140.26,141.45,132.975
SKU488,136.56,133.655,127.05,139.655
SKU489,124.79,132.635,126.99,136.19
SKU490,151.11,130.78,120.985,138.205
SKU491,146.23,128.655,138.03,137.98
SKU492,153.4,139.96,137.26,154.75
SKU493,146.145,141.505,145.955,139.715
SKU494,148.31,135.42,139.15,142.085
SKU495,143.495,129.03,141.405,156.87
SKU496,142.85,132.015,125.67,145.475
SKU497,135.565,145.815,146.735,140.81
SKU498,142.885,143.81,141.32,141.595
SKU499,118.935,124.11,125.995,142.03
SKU500,145.76,134.58,136.905,145.435
